scenario,source_file,generator_raw_qmi_score,status,passes_exact_nonpositive_test,n_raw,n_anchor,qmi_matrix_norm_2,relative_positive_residual,positive_eigenvalue_count,positive_eigenvalue_count_above_reporting_tolerance,endpoint_score_max_abs_reproduction_error
Standard,results/raw/standard_data_fusion_diagnostics.npz,9.667930374294771e-11,Numerically near boundary (positive),False,0,103,150.10463455725366,6.440794051969915e-13,10,0,0.0
Expanded,results/raw/expanded_data_fusion_diagnostics.npz,4.668459817884493e-11,Numerically near boundary (positive),False,0,103,150.5483545039729,3.1009703382452414e-13,8,0,0.0
