Controller,SuccessRatePct,RMSEMean,RMSEMedian,RMSEStd,RMSE95,PeakMean,PeakMax,EnergyMean,IncrementSatRateMean,AbsoluteSatRateMean,CommandPeakNormalizedMax,AppliedPeakNormalizedMax
NominalLQR,100.0,0.39863218621990226,0.39548232843191955,0.04644986938902434,0.47781357514610895,1.1866720210390658,1.6808262097665638,0.0008380222272562381,0.0,0.0,0.24933891289153065,0.24933891289153065
P0(PriorOnly),100.0,0.3497245657207168,0.346494684172003,0.034116923512876554,0.4100464796010847,1.1423836784016648,1.5295834953339038,0.00145430938465864,0.0,0.0,0.3911084101094551,0.3911084101094551
P1(NoRelax),100.0,0.3499048690325182,0.34658818153186516,0.03420548997518594,0.41042207631685784,1.1424032411953047,1.5294340695428912,0.001452346701970081,0.0,0.0,0.3903444430069666,0.3903444430069666
F1a(HardStrict),82.95,0.3100532367824557,0.3081516508360536,0.023352580884977273,0.3502961423375413,1.1032586823294177,2.287567256471949,0.1077369666767696,0.1874066666666667,0.1456,2379007.406450686,1.0000000000000002
F1b(HardBudget),79.8,0.3087693190804711,0.30672072918224313,0.022959601022135952,0.34819185170863287,1.1013344154376496,1.3869974561429468,0.11577506918939541,0.214885,0.16949833333333333,2474909.4813046115,1.0000000000000002
S0(DataOnly),100.0,0.39989806961231034,0.39681836592263475,0.04620197212678635,0.47868498762370587,1.1874870375740842,1.6806748097990523,0.0006948096320599428,0.0,0.0,0.2439820195668413,0.24398201956684126
Proposed,83.8,0.31319070669771637,0.31113447937959393,0.024205038985193814,0.3554110653155302,1.105350355969717,1.399201441001359,0.12045376569670256,0.1835466666666667,0.13572,2165604.9138628906,1.0000000000000002
