KBudget,Strategy,SeedIndex,SynthesisSeed,Classification,SynthesisSuccess,Gamma,SDPRounds,MaxViolationStage1,MaxViolationFinal,VSur,VCert,OutputLMISignedViolation,IncrementLMISignedViolation,NViolated,Polished,MonteCarloSuccessPct,RMSE95
8,SFPS+ICE,0,82,surrogate_pass,True,4.388706758119321,3,2.8760634705083517e-05,2.8760634705083517e-05,2.8760634705083517e-05,2.8760634705083517e-05,-0.00022007086740316267,-0.0010832122691737992,0,False,83.2,0.3561720938003098
8,SFPS+ICE,1,1082,surrogate_pass,True,4.396034101446427,3,7.195623261099951e-06,7.195623261099951e-06,7.195623261099951e-06,7.195623261099951e-06,-3.6321251571998815e-05,-0.0010951177104929705,0,False,84.0,0.3559415592087376
8,SFPS+ICE,2,2082,surrogate_pass,True,4.397967508020307,3,7.2989042709651595e-06,7.2989042709651595e-06,7.2989042709651595e-06,7.2989042709651595e-06,-0.0001682461070262351,-0.0010941337405783946,0,False,86.4,0.3592370871954692
8,SFPS+ICE,3,3082,surrogate_pass,True,4.371807764828172,3,3.515895138776641e-05,3.515895138776641e-05,3.515895138776641e-05,3.515895138776641e-05,-9.624072822894024e-06,-0.0011029976007094105,0,False,90.0,0.35544763142119545
8,SFPS+ICE,4,4082,surrogate_pass,True,4.390049578436663,3,2.8194641022080233e-05,2.8194641022080233e-05,2.8194641022080233e-05,2.8194641022080233e-05,-2.3215970883559126e-05,-0.0010824273169287731,0,False,85.0,0.3538075010408021
8,SFPS-init,0,82,failed,False,3.810147707590137,1,0.04381595469603195,0.04381595469603195,0.04381595469603195,0.04381595469603195,-2.855635278139107e-05,-0.0010191602518876855,126,False,0.0,9999.9
8,SFPS-init,1,1082,failed,False,3.8209952691921396,1,0.04812727774778889,0.04812727774778889,0.04812727774778889,0.04812727774778889,-2.621279860536816e-05,-0.0010098300041294869,124,False,0.0,9999.9
8,SFPS-init,2,2082,failed,False,3.816197795243712,1,0.042123660681519966,0.042123660681519966,0.042123660681519966,0.042123660681519966,-5.116540651446438e-05,-0.0010137348022881123,124,False,0.0,9999.9
8,SFPS-init,3,3082,failed,False,3.808411942787309,1,0.04257888587209364,0.04257888587209364,0.04257888587209364,0.04257888587209364,-3.0853438327086105e-05,-0.0010204961539281641,124,False,0.0,9999.9
8,SFPS-init,4,4082,failed,False,3.8213203287268853,1,0.047487871151436975,0.047487871151436975,0.047487871151436975,0.047487871151436975,-1.956976035154306e-05,-0.0010093843762427127,126,False,0.0,9999.9
8,Random+ICE,0,82,surrogate_pass,True,4.409641542721545,3,6.35363684045183e-06,6.35363684045183e-06,6.35363684045183e-06,6.35363684045183e-06,-2.8002495318115496e-06,-0.0010875273253150865,0,False,88.2,0.3573675087405997
8,Random+ICE,1,1082,surrogate_pass,True,4.403676800879913,4,2.647412764211683e-05,2.647412764211683e-05,2.647412764211683e-05,2.647412764211683e-05,-3.463095849994286e-05,-0.0010743855280584116,0,False,89.2,0.35607332002702896
8,Random+ICE,2,2082,failed,False,3.661710395053316,4,0.006155865897577684,0.006155865897577684,0.006155865897577684,0.006155865897577684,-2.65838806319049e-05,-0.001013362478681426,126,False,0.0,9999.9
8,Random+ICE,3,3082,failed,False,4.132244850837164,4,0.0006074370090432717,0.0006074370090432717,0.0006074370090432717,0.0006074370090432717,-0.00011621830128297478,-0.0010873598451581659,56,False,0.0,9999.9
