vertex_index,old_full_qmi_raw_score,archived_raw_score,new_dynamics_raw_score,dynamics_score_from_qmi_block,absolute_difference,relative_difference,old_processed_score,new_processed_score,old_anchor,new_anchor,old_tier,new_tier
0,3687.8316683310622,3687.8316683310622,3687.831668331021,3687.831668331062,4.1382008930668235e-11,1.1221230428176178e-14,0.6292515700137873,0.6292515700137868,False,False,2,2
1,3687.8402329563887,3687.8402329563887,3687.840232956348,3687.840232956389,4.092726157978177e-11,1.1097894429925475e-14,0.6292525223583498,0.6292525223583496,False,False,2,2
2,3687.7205217143173,3687.7205217143173,3687.7205217142755,3687.7205217143164,4.18367562815547e-11,1.1344882573179914e-14,0.6292392108302481,0.6292392108302478,False,False,2,2
3,3687.7290684002937,3687.7290684002937,3687.729068400251,3687.7290684002937,4.274625098332763e-11,1.1591483590704942e-14,0.6292401612117258,0.6292401612117253,False,False,2,2
4,3559.771738653203,3559.771738653203,3559.7717386531617,3559.7717386532045,4.1382008930668235e-11,1.1624905181792532e-14,0.6147349198318146,0.614734919831814,False,False,1,1
5,3559.7780869137177,3559.7780869137177,3559.7780869136764,3559.778086913719,4.1382008930668235e-11,1.162488445074561e-14,0.6147356533669979,0.6147356533669974,False,False,1,1
6,3559.6563164696404,3559.6563164696404,3559.6563164695954,3559.656316469641,4.501998773775995e-11,1.264728494418512e-14,0.614721582669851,0.6147215826698502,False,False,1,1
7,3559.6626457228313,3559.6626457228313,3559.662645722792,3559.662645722833,3.9108272176235914e-11,1.098651082096981e-14,0.6147223140340767,0.6147223140340766,False,False,1,1
8,3687.8311742026444,3687.8311742026444,3687.8311742025994,3687.831174202644,4.501998773775995e-11,1.2207713859757648e-14,0.6292515150690426,0.6292515150690419,False,False,2,2
9,3687.8397402878995,3687.8397402878995,3687.8397402878577,3687.8397402878995,4.18367562815547e-11,1.1344515821690403e-14,0.6292524675760831,0.6292524675760828,False,False,2,2
10,3687.720027754939,3687.720027754939,3687.7200277548995,3687.7200277549396,3.956301952712238e-11,1.0728314305142112e-14,0.6292391559024689,0.6292391559024688,False,False,2,2
11,3687.7285759006027,3687.7285759006027,3687.7285759005595,3687.728575900601,4.320099833421409e-11,1.1714798810447624e-14,0.6292401064464027,0.6292401064464022,False,False,2,2
12,3559.771239226893,3559.771239226893,3559.771239226849,3559.771239226893,4.411049303598702e-11,1.2391384185003664e-14,0.6147348621235423,0.6147348621235416,False,False,1,1
13,3559.7775889524237,3559.7775889524237,3559.7775889523787,3559.7775889524232,4.501998773775995e-11,1.2646854083658775e-14,0.6147355958281165,0.6147355958281155,False,False,1,1
14,3559.6558172265923,3559.6558172265923,3559.6558172265513,3559.655817226594,4.092726157978177e-11,1.1497533379974112e-14,0.6147215249807576,0.6147215249807572,False,False,1,1
15,3559.6621479445275,3559.6621479445275,3559.6621479444852,3559.6621479445284,4.229150363244116e-11,1.188076336313595e-14,0.6147222565143482,0.6147222565143476,False,False,1,1
16,3687.8279441920367,3687.8279441920367,3687.8279441919954,3687.827944192036,4.1382008930668235e-11,1.1221241759893055e-14,0.6292511559069288,0.6292511559069285,False,False,2,2
17,3687.8365107533664,3687.8365107533664,3687.8365107533245,3687.8365107533646,4.18367562815547e-11,1.1344525756378532e-14,0.6292521084678293,0.6292521084678289,False,False,2,2
18,3687.7168012145144,3687.7168012145144,3687.716801214472,3687.716801214515,4.229150363244116e-11,1.146820808433903e-14,0.6292387971142633,0.629238797114263,False,False,2,2
19,3687.725349836074,3687.725349836074,3687.7253498360337,3687.725349836074,4.0472514228895307e-11,1.0974926381297451e-14,0.6292397477120362,0.6292397477120358,False,False,2,2
20,3559.7634553468197,3559.7634553468197,3559.7634553467756,3559.7634553468215,4.411049303598702e-11,1.2391411280356951e-14,0.6147339627019072,0.6147339627019064,False,False,1,1
21,3559.7698064012448,3559.7698064012448,3559.7698064012015,3559.769806401245,4.320099833421409e-11,1.2135896612339722e-14,0.6147346965617468,0.6147346965617462,False,False,1,1
22,3559.6480384927254,3559.6480384927254,3559.6480384926817,3559.648038492725,4.3655745685100555e-11,1.2264062405334282e-14,0.6147206261226479,0.6147206261226471,False,False,1,1
23,3559.6543705395047,3559.6543705395047,3559.6543705394615,3559.6543705395025,4.320099833421409e-11,1.2136290166751922e-14,0.6147213578114973,0.6147213578114966,False,False,1,1
24,3687.8274501157775,3687.8274501157775,3687.827450115736,3687.8274501157784,4.1382008930668235e-11,1.1221243263257631e-14,0.6292511009679226,0.6292511009679223,False,False,2,2
25,3687.8360181370117,3687.8360181370117,3687.8360181369694,3687.8360181370126,4.229150363244116e-11,1.1467837350806506e-14,0.6292520536912986,0.629252053691298,False,False,2,2
26,3687.716307307247,3687.716307307247,3687.7163073072043,3687.716307307247,4.274625098332763e-11,1.1591523702250495e-14,0.6292387421922176,0.6292387421922172,False,False,2,2
27,3687.7248573884644,3687.7248573884644,3687.7248573884217,3687.7248573884635,4.274625098332763e-11,1.1591496827016329e-14,0.6292396929524433,0.6292396929524429,False,False,2,2
28,3559.7629560030655,3559.7629560030655,3559.7629560030205,3559.7629560030623,4.501998773775995e-11,1.26469060704842e-14,0.6147339050030307,0.6147339050030299,False,False,1,1
