scenario,N,N_anchor,strict_tolerance,worst_full_library_surrogate_residual,worst_full_library_surrogate_scaled_residual,surrogate_reporting_tolerance,full_library_surrogate_within_reporting_tolerance,lambda_min_Q,condition_number_Q,relative_Y_minus_KQ,lambda_max_P,diagnostic_status,bar_lambda_anchor,N_score,N_positive_score_selected,worst_selected_set_BRL_residual,worst_selected_set_BRL_scaled_residual
Standard,1024,103,1e-06,3.714055660160409e-05,1.955888420938033e-06,0.0001,True,0.0011222777879731933,672.7231327859831,4.3336711549424744e-18,891.0449896775842,strict score-bounded residual found,0.9620079718530177,104,1,-1.0000008040110586e-06,-5.266156629137853e-08
Expanded,1024,103,1e-06,4.935305439619005e-05,2.1403529484302964e-06,0.0001,True,0.0010829463941135038,496.5547522296668,6.0835416453127145e-18,923.4067405696703,strict score-bounded residual found,0.9673257395625112,128,25,-1.0000004610876313e-06,-4.336797322984029e-08
